monthly_income_after_tax_and_401k,rent,groceries,entertainment,utilities,healthcare,other,savings
4248,958,379,266,104,222,175,325
3931,1374,336,133,270,252,225,770
4324,1187,378,207,141,275,128,30
4762,1221,377,249,163,273,190,1233
3883,1370,422,255,175,450,90,445
3883,1510,232,264,160,290,132,939
4790,1207,362,107,131,315,155,893
4384,1210,455,225,162,391,165,639
3765,1374,407,238,138,459,220,687
5316,1414,422,150,140,296,213,36
3768,1099,314,241,182,426,154,411
3767,1645,461,208,167,483,231,867
4121,1171,194,236,137,289,201,70
3043,1493,376,154,125,244,287,635
4922,1390,429,274,192,519,137,1163
3719,1421,283,234,149,412,281,317
1815,1175,480,244,116,301,176,513
4157,955,409,146,137,365,279,961
3546,1296,468,259,97,196,232,1021
3294,1297,356,184,72,147,288,615
4733,1108,425,169,179,120,207,514
3887,2187,404,231,124,407,273,1037
4034,1290,441,229,113,228,163,610
3288,1138,388,15,133,135,259,802
5201,1417,424,303,140,100,259,545
4055,1422,455,291,132,252,278,387
3425,1157,367,230,123,619,227,259
4188,1547,569,222,149,161,163,1220
3700,1749,306,216,143,176,236,796
3854,1082,435,123,201,251,260,7
3699,1263,498,206,139,381,242,440
4926,1367,338,205,149,180,91,849
3993,1756,395,171,42,314,211,1203
3471,1873,444,185,169,398,236,422
4411,1112,402,81,200,369,276,1128
3390,1111,408,145,147,258,122,1083
4104,1544,380,246,131,391,145,107
3020,1158,379,287,155,172,197,472
3336,1130,396,153,164,349,327,284
2199,1346,402,209,237,183,239,650
4369,1362,519,255,146,314,164,905
4086,1514,397,174,140,82,198,435
3942,1318,478,234,190,321,236,207
3849,568,379,16,141,299,217,337
3261,1279,338,260,137,323,212,181
3640,1039,392,136,89,366,178,343
2434,1260,536,145,142,816,181,213
4529,1313,333,214,119,365,218,924
4172,1211,407,205,118,250,372,296
3118,987,364,197,137,0,110,625
4162,1073,369,229,173,210,191,342
3807,1292,408,153,155,176,72,123
3662,1487,323,132,276,57,309,458
4306,1636,313,175,150,14,243,375
3221,1263,434,181,162,160,229,112
4466,1157,303,314,139,310,258,396
3580,1225,351,263,124,249,218,1103
3845,1091,310,239,125,191,321,418
4166,1458,376,227,123,90,327,746
4488,1728,267,211,188,265,129,367
3760,1161,406,178,271,125,245,858
3907,1062,520,157,137,371,100,72
3447,783,454,140,155,37,216,912
3402,1364,353,165,171,277,222,821
4406,1367,340,198,132,445,199,609
4678,1618,397,0,146,301,227,1456
3964,1027,453,208,122,339,129,912
4502,1021,429,190,124,369,207,1733
6054,1268,544,180,170,248,240,1376
3677,1313,557,258,152,249,200,149
4181,1229,326,77,151,304,267,359
4769,1792,408,181,184,165,227,1153
3982,1238,404,82,137,479,201,4
4782,1190,355,212,171,316,198,686
4487,1325,373,238,125,280,166,0
4411,1494,476,132,137,509,321,1076
4044,1155,394,139,128,190,241,562
3850,1271,504,115,126,454,220,412
4046,1500,313,203,203,381,194,574
3006,1511,374,183,112,412,210,237
3890,1344,323,186,129,282,278,157
4179,1784,340,182,89,306,202,646
4739,1696,359,151,134,266,198,514
3741,1019,416,257,145,19,65,190
3596,962,413,214,175,339,267,1223
3749,1459,366,141,135,244,215,525
5973,1573,289,0,115,249,209,641
4164,1255,474,156,135,299,165,608
3735,1200,386,270,226,267,271,525
4257,1136,344,236,173,444,219,549
4049,1066,414,194,28,381,254,31
4484,1527,275,285,122,381,132,1267
3649,1224,384,273,139,323,148,247
3836,1360,407,188,160,217,177,1183
3804,935,342,179,174,370,170,124
3268,1500,438,182,119,90,171,791
4148,1418,520,152,128,317,221,1052
4131,1031,370,287,87,219,173,651
4003,1352,432,150,88,211,262,0
3883,1301,460,243,117,254,298,624
3292,1210,479,235,120,292,143,924
3790,719,453,185,136,569,265,46
3829,1168,384,408,159,379,154,427
3599,1360,323,122,147,283,247,205
3919,1190,470,196,158,290,221,796
5333,1256,469,176,177,160,259,1673
4943,1599,366,248,157,0,143,738
5302,1284,446,218,144,329,235,407
4129,881,383,114,164,363,0,1399
3963,1826,475,262,93,274,186,684
3041,591,262,224,142,393,159,446
3987,1135,499,148,169,159,144,515
5686,1447,439,183,146,340,205,221
5232,1008,490,135,157,215,353,1146
3904,1272,377,191,144,207,206,939
4151,1005,420,208,168,224,201,512
3983,1241,352,183,177,292,189,875
3416,1442,442,177,87,344,247,0
4571,1268,445,119,61,336,160,564
4376,1256,520,217,89,271,244,384
4396,1306,424,104,31,363,199,743
3545,1316,436,202,168,469,360,137
6086,1439,376,110,110,288,206,0
3299,1440,427,203,135,309,194,399
4293,1584,381,200,129,239,0,609
5095,1334,406,220,145,261,264,1377
3505,968,409,243,234,425,153,712
3717,1472,382,252,119,426,201,820
4050,1570,403,119,110,280,39,0
5585,1792,381,197,168,349,228,1445
3225,1590,578,301,170,392,186,798
2084,1202,454,206,162,255,138,413
3469,1337,409,158,152,169,151,0
4237,1246,239,196,141,369,145,679
3540,1219,327,181,105,390,209,320
4775,1277,421,141,206,375,264,540
3608,1557,427,243,208,648,185,263
3839,982,380,229,60,791,230,711
4407,1099,504,133,192,328,245,133
3385,1544,286,195,160,185,215,542
4114,1591,569,172,97,140,158,1150
4654,1168,540,10,100,270,264,449
3196,1630,598,129,173,322,160,348
4092,1495,409,137,189,271,216,98
4130,1246,428,197,161,499,200,953
4391,813,443,177,158,340,224,246
3382,966,364,152,124,203,219,280
5145,1168,415,180,116,0,42,1156
4261,1452,391,237,173,324,205,823
4148,1453,345,218,151,399,230,0
4125,1207,436,71,146,486,245,841
4173,1254,372,189,188,280,123,516
3660,1294,325,280,201,472,461,510
4116,1256,200,217,167,164,191,1217
4147,1333,360,176,122,266,217,976
3643,1294,451,205,152,199,208,989
4933,965,408,138,137,113,180,265
4237,1258,469,185,146,170,194,1260
3404,1295,367,221,114,340,207,241
4328,1498,444,231,188,176,190,337
3513,1134,542,77,136,476,445,493
3016,1341,418,337,198,263,245,616
4579,1413,443,191,146,338,174,1261
3590,1270,435,116,206,121,300,520
4482,949,133,261,130,151,125,1456
2418,1502,429,230,130,223,147,862
4411,1449,415,212,157,385,197,142
3597,1346,387,177,148,366,319,1025
2710,1308,356,220,174,409,163,440
3623,944,435,281,31,149,182,912
3555,1455,351,210,246,351,148,153
3592,1597,507,126,186,244,185,982
3961,1077,406,27,191,614,123,379
4171,1569,213,219,25,246,182,1088
5172,1526,374,151,140,288,180,752
4414,1071,386,195,222,366,143,605
4007,1221,521,160,124,39,460,600
4727,1021,356,156,170,352,230,1062
3868,1287,394,162,116,363,261,579
5360,1390,373,331,215,482,203,1127
4313,1036,533,239,157,370,224,650
3571,1377,374,362,145,279,193,102
3465,1428,343,140,210,358,370,631
4241,1431,390,146,196,471,237,813
3888,1391,385,219,127,213,162,32
4357,1054,370,253,112,257,193,511
4237,1276,373,79,149,445,290,936
3964,1370,459,150,131,271,196,647
4962,1592,384,249,111,0,59,950
3243,1300,343,111,114,816,250,353
1873,1385,568,190,160,174,258,156
4428,1114,403,224,261,259,250,809
4107,1069,333,96,109,420,146,0
3377,1043,481,305,144,287,176,673
4087,1216,443,154,138,98,286,1035
4193,1712,472,232,130,249,190,928
3558,1823,420,152,198,379,227,536
2838,1373,295,197,148,428,240,741
2823,1411,477,107,155,305,282,732
3429,1082,357,144,170,348,155,2
4179,1213,361,191,152,0,213,464
4280,1425,408,246,149,390,66,684
4542,1386,469,125,175,443,333,760
4527,901,327,217,133,377,171,923
3311,1419,445,112,136,288,152,667
3531,1190,384,153,120,343,298,587
4258,1195,384,175,192,395,333,912
4257,1381,417,226,167,303,260,563
4258,1605,393,165,157,380,121,1228
7896,1260,444,206,197,337,151,2641
4285,1536,442,166,113,442,156,1185
4568,1012,430,173,148,370,302,1017
4477,1326,274,263,105,250,196,833
4326,1192,406,142,108,440,215,630
3842,1356,395,238,184,346,184,834
4379,1241,408,200,201,286,133,770
3614,1032,362,171,138,165,164,936
2857,611,334,139,52,679,298,304
3757,971,423,143,137,483,198,985
4041,1039,210,163,201,27,108,765
5157,1396,323,192,132,31,233,1074
1281,1250,366,230,200,377,196,160
4343,1346,471,185,214,324,197,630
3194,1663,626,188,135,367,188,736
3764,1241,415,196,158,247,142,1098
4544,1427,389,326,207,86,167,0
4032,1306,443,232,155,217,310,597
3461,2374,420,131,144,456,244,24
3642,696,412,186,166,255,235,447
4340,1156,452,261,143,256,190,996
3635,1920,471,134,116,37,205,812
4108,1149,337,204,148,120,285,1194
4023,1413,347,191,176,411,206,694
3674,1288,361,172,163,274,214,0
5072,1473,325,156,111,399,228,851
5638,1074,397,202,174,225,138,1492
1950,1335,430,276,165,153,194,490
4093,1851,399,200,154,274,138,911
5587,1326,261,223,182,243,61,685
4426,856,456,171,178,217,126,1246
3604,1115,407,172,76,219,198,589
3943,964,417,220,97,287,266,60
4252,1325,288,221,169,582,217,405
4433,1058,394,230,141,207,223,841
3400,1452,503,219,160,480,251,137
3833,1132,378,133,122,346,293,361
3763,806,500,160,60,316,237,219
4813,1456,351,391,267,293,163,899
4883,1246,426,102,147,367,198,410
4202,1371,368,215,99,353,270,897
3370,1585,456,194,166,197,235,517
2907,1374,529,242,156,147,162,0
5061,1334,415,221,92,73,215,734
4516,1291,172,167,150,174,92,250
3240,1071,447,165,174,255,251,666
3758,1257,264,174,83,359,237,392
4633,1695,484,229,152,320,149,1137
3646,1980,350,85,71,391,151,1003
4222,1269,333,208,94,294,95,333
4387,2324,448,156,143,167,293,1082
3537,992,370,210,155,196,229,229
3970,1424,400,99,144,265,201,557
2379,982,384,277,142,141,168,309
3488,745,334,189,164,215,239,347
3874,1296,396,208,227,180,259,721
3376,1422,463,204,149,267,183,912
4816,1098,450,194,129,250,189,946
3285,1193,412,139,146,312,174,468
3780,1433,456,147,147,385,145,56
4065,1198,347,131,130,580,120,0
4721,1451,384,228,130,150,239,560
3282,1342,420,194,124,95,134,0
4582,1211,393,197,133,316,246,170
4005,1973,388,115,152,233,252,692
3509,1301,340,198,147,284,234,137
4231,1256,167,232,184,536,179,347
4100,1446,441,108,89,444,217,716
2426,1226,412,173,258,125,187,426
4035,1185,445,121,133,0,177,450
3807,1482,378,179,0,291,144,0
4057,1216,364,267,125,186,198,440
4331,1192,400,45,95,151,276,709
4793,803,443,208,145,431,237,733
3381,1092,388,457,150,401,0,854
5067,1132,440,197,0,169,185,497
3024,1192,243,78,148,185,180,39
3924,1156,392,172,152,409,227,463
4294,1497,396,145,122,230,278,485
4140,1145,461,242,153,161,252,668
3689,1160,410,262,152,216,339,1047
3896,1331,487,235,144,295,208,157
3753,1080,333,207,174,389,189,689
3705,1613,406,151,181,381,65,710
4425,1460,221,257,183,222,147,565
4179,1066,431,229,124,247,261,652
3654,1029,359,301,144,510,153,532
4450,1544,484,142,91,690,335,683
4154,1072,401,243,171,275,105,1501
4406,1067,346,380,175,70,165,888
4315,1178,559,183,183,254,220,228
3586,1017,384,268,206,167,236,565
3720,1144,539,220,182,214,175,1499
3308,1220,452,153,166,203,263,439
4305,1401,402,194,153,277,147,0
3990,1316,394,153,228,307,278,315
4059,1270,448,28,158,227,134,522
4639,1203,450,235,222,172,211,613
3704,1038,254,249,63,282,193,1120
4274,1418,432,211,141,250,139,844
3899,1414,401,162,287,110,208,377
3891,1177,334,219,60,361,142,744
4549,1080,444,236,143,227,214,562
4413,1611,512,101,186,617,246,553
4407,1349,428,206,139,278,146,1286
5703,1379,455,190,150,298,180,1801
4011,1388,490,426,41,0,277,819
4341,1060,358,219,138,170,29,387
3845,1600,307,224,125,331,173,1214
4162,1219,433,176,173,266,317,816
3935,1464,388,200,174,408,252,669
4048,1592,331,247,126,381,180,328
4298,2077,396,197,208,432,231,580
3591,1064,436,209,197,206,80,1360
5046,801,393,123,110,429,166,0
3497,1292,361,396,173,309,185,1513
3393,1350,389,273,241,369,350,1078
4579,1786,399,174,73,367,161,1361
4396,1327,304,325,156,346,229,843
4312,959,393,238,134,191,184,443
4314,1499,333,150,115,396,193,429
3994,1254,433,219,116,335,181,87
3551,1291,322,273,112,153,175,430
4038,1264,451,168,147,252,232,522
3661,1307,226,123,174,179,233,732
4488,1197,373,214,122,157,238,94
3926,1196,415,140,119,385,200,206
3587,1209,357,159,155,152,200,82
4955,1331,414,246,192,168,184,911
