monthly_income_after_tax_and_401k,rent,groceries,utilities,transportation,personal_care,healthcare_and_insurance,debt_payments,investments_and_savings,dining_and_going_out,other
4248,1541,424,100,580,61,422,350,357,376,292
3931,1186,433,157,285,83,650,319,116,246,136
5955,1351,352,130,194,99,281,315,270,135,462
4762,1419,449,133,263,120,589,115,510,154,370
3883,1215,580,152,352,119,290,74,308,64,325
3883,1158,397,171,293,229,220,263,553,160,197
4790,1327,428,166,5,109,453,366,473,234,371
4384,970,323,153,191,65,519,122,428,159,407
3765,1307,393,177,471,183,579,390,347,162,551
4271,1612,375,181,245,60,463,270,426,153,248
3768,1159,504,146,386,104,603,217,578,186,300
3767,1265,391,306,182,190,494,308,119,96,395
4121,870,418,117,492,126,432,170,225,485,268
3043,1451,391,14,300,195,472,46,595,200,25
4455,1312,209,192,98,137,36,421,109,245,313
3719,1288,385,129,231,106,612,295,233,131,271
3494,1053,627,70,226,76,490,0,480,251,213
4157,1398,360,140,395,107,553,242,78,0,264
3546,1031,466,187,230,89,620,223,291,142,636
3294,887,269,141,0,94,321,265,528,167,354
4733,1502,350,97,320,101,243,289,178,278,203
3887,2113,340,141,260,121,649,369,807,252,622
4034,1476,470,144,152,127,406,230,503,93,278
3288,1153,380,140,323,78,501,194,392,261,310
3728,1393,346,128,220,214,451,246,588,158,283
4055,1212,287,130,219,0,507,546,548,246,414
3425,1235,341,172,450,123,604,316,247,143,385
4188,1495,355,133,232,69,761,340,366,192,318
3700,1270,476,155,255,99,671,275,167,138,442
3854,1161,232,155,318,45,468,473,562,192,280
3699,1027,577,132,180,121,665,386,532,111,301
4926,1372,423,127,292,154,269,196,529,136,276
3993,1512,327,59,319,146,419,316,0,382,332
3471,1143,440,100,349,125,377,261,547,127,396
4411,1438,431,210,299,117,371,341,336,172,368
3390,1111,569,133,167,162,626,400,595,206,344
4104,2067,478,138,283,83,402,380,382,300,273
1788,1307,414,172,0,15,600,336,211,0,19
3336,1354,391,145,342,42,574,518,256,122,236
4098,1161,283,137,331,96,612,442,309,203,158
4369,1372,361,110,267,72,329,397,593,77,299
4086,1180,390,153,264,54,565,101,392,218,105
3942,1217,449,134,249,75,629,187,339,421,212
3849,301,304,135,248,153,601,166,798,241,277
3261,1146,382,144,578,97,494,294,365,368,263
3640,1195,432,82,227,77,328,330,679,204,348
3770,2079,346,179,414,97,506,379,746,159,0
4529,1419,420,120,263,110,557,275,290,272,320
4172,1178,423,153,343,44,450,272,228,199,230
1240,1267,569,192,126,192,491,328,1172,350,353
4162,1637,415,141,207,0,826,615,280,334,365
3807,1326,481,144,561,144,522,149,360,256,307
3662,1193,366,178,274,96,648,112,428,129,265
6142,964,203,193,252,95,215,246,356,131,312
4515,1129,379,146,329,95,478,228,367,100,226
4466,1121,350,211,409,66,593,226,490,117,640
3580,1696,419,98,163,116,576,299,380,285,688
3845,1130,377,123,325,155,484,183,272,162,226
4166,1310,431,136,217,81,627,240,374,66,178
4488,1374,415,182,314,127,375,271,576,234,413
3760,1521,366,157,216,97,471,0,332,213,346
3907,1302,354,215,290,77,737,286,546,166,353
3447,1198,230,116,297,127,637,285,432,152,300
3402,1185,453,105,198,51,596,219,335,201,318
4406,1371,426,165,214,57,407,274,300,205,334
4678,1163,379,138,236,153,51,299,404,230,398
3964,1079,430,180,128,88,473,396,619,69,304
4502,1198,345,107,284,50,547,152,369,118,96
4181,1035,556,163,360,96,619,302,245,166,274
3677,1670,472,149,156,24,389,316,286,100,186
4181,1419,414,132,299,120,220,318,518,2,229
4769,1624,370,134,276,111,471,323,299,251,247
3982,1397,327,256,198,78,515,169,621,155,216
4782,1605,405,42,638,133,547,316,561,250,9
1460,1979,429,123,336,128,471,311,279,217,258
4411,1445,393,165,343,77,439,355,385,217,157
4044,873,457,186,253,132,483,283,578,0,479
3850,1117,440,143,137,182,554,246,855,185,250
4046,1307,456,167,263,102,553,400,403,155,291
3006,1312,439,145,241,78,396,0,543,189,382
2855,1285,412,222,327,73,377,163,626,168,212
4179,1391,338,150,206,143,598,176,498,110,387
4739,1399,383,171,350,111,367,335,422,175,311
3741,1473,374,185,203,128,436,228,344,169,258
3596,1434,356,131,303,86,481,289,210,268,426
1945,1541,371,171,194,194,271,439,354,462,282
4458,1542,327,176,247,90,495,182,356,323,362
4164,1335,279,163,150,120,566,130,505,106,461
3735,1102,347,173,255,58,1007,383,374,405,282
2641,1572,441,131,174,58,494,0,404,275,328
4049,1139,466,214,292,67,407,183,994,212,278
5585,1379,362,78,302,100,857,289,409,94,218
3649,931,372,125,249,33,472,281,318,86,464
3836,965,425,110,201,42,455,604,223,325,358
3804,721,571,202,280,118,573,356,333,321,355
3268,1125,360,146,321,48,381,222,258,221,238
4148,1201,422,122,237,88,446,218,0,139,361
4131,1864,363,132,218,156,480,113,1385,159,307
4003,1545,507,104,155,87,582,55,359,135,272
3883,1534,428,169,266,70,561,324,451,356,301
3292,1383,433,172,329,0,598,168,696,377,234
2202,1083,236,242,357,135,222,546,251,261,360
3829,1950,493,129,268,66,672,493,459,73,207
3599,1427,363,196,145,117,858,347,567,104,130
3919,1135,438,173,215,113,559,573,451,206,323
4202,1047,333,199,338,100,520,342,335,179,269
4943,1398,515,144,312,89,427,244,482,297,137
4087,1290,441,115,172,128,468,111,267,245,327
4129,1994,353,194,398,66,559,286,371,196,485
3963,1522,246,137,169,112,554,447,160,211,271
3041,1518,453,109,0,53,535,331,488,149,0
5439,1656,355,146,288,26,616,420,585,129,378
4030,1170,377,198,244,123,628,237,519,143,256
5232,1386,350,176,226,87,860,175,494,237,294
3904,1304,424,134,251,93,421,491,397,269,236
4151,1368,409,145,327,114,126,308,715,247,289
3983,1073,402,180,394,59,547,383,190,83,306
1641,1020,360,192,273,91,641,389,269,224,268
5780,1292,192,103,203,100,523,428,288,246,401
4376,727,364,155,258,49,742,329,463,328,312
4396,1488,610,139,398,20,603,334,962,100,376
3545,1000,347,135,311,162,416,71,430,125,376
4701,1016,360,190,350,172,490,236,382,320,248
3299,1217,441,109,312,41,395,405,671,118,271
4293,992,378,174,321,135,566,585,477,249,317
5095,1635,488,82,254,81,387,411,191,73,730
3505,1263,410,128,358,97,599,379,389,198,346
3717,1179,154,151,313,71,460,79,333,122,268
4050,1394,334,111,293,118,695,381,137,251,293
3748,1477,370,216,286,0,277,323,569,196,339
3225,1341,437,204,185,64,527,433,428,174,388
4034,1286,432,126,276,32,539,473,671,246,388
3469,1103,376,129,295,151,455,311,571,136,156
4237,1426,462,168,120,91,708,336,311,201,538
3540,1583,416,177,277,53,657,0,476,252,195
4775,1256,248,137,347,116,564,283,468,175,346
3608,1130,459,159,135,28,752,466,389,210,244
3839,1336,360,162,297,126,133,300,126,181,333
4407,553,428,107,244,142,408,393,525,307,266
3385,1057,581,146,323,92,550,298,142,306,537
4114,1199,431,131,187,107,328,288,196,194,332
4654,1658,392,103,79,0,509,357,448,191,356
3196,1030,444,156,506,102,513,9,246,124,536
5545,1162,492,180,69,103,392,337,288,369,235
4130,1110,392,151,215,146,290,75,423,259,372
4391,1538,403,73,380,5,460,292,513,51,324
3382,1211,446,136,342,117,862,216,355,307,561
3340,1390,387,123,278,156,491,184,647,196,282
4261,1562,385,203,272,2,232,448,251,180,280
4148,1341,342,140,379,101,471,412,587,312,425
4125,1163,314,102,413,86,554,264,278,159,214
